Consulta,Iteración,Tiempo,Manager,Worker1,Worker2
2,1009,269.112,0.000869852318664455,0.00668330872592815,0.00686025844931563
2,1036,268.92,0.00149467067352841,0.0105440012792942,0.0124924030243021
2,1046,264.75,0.00063823951105717,0.0103805010363422,0.0122986899475084
3,8,2733.462,0.023018904547837227,0.3391372135253387,0.4327958975399769
3,38,2759.765,0.03710725479012043,0.3541600048606987,0.42078102649521415
3,46,2776.250,0.02463612559898248,0.39718318125137553,0.42369916960826465
3,58,2733.068,0.030659350255013564,0.4165142541031277,0.40432212435181475
3,72,2731.846,0.02571079871177507,0.36100724648570115,0.37206636333775267
3,106,2753.650,0.02011069390125783,3.4607320256245173,0.40600430583985236
3,114,2725.258,0.040457386131128294,0.5100138775521283,0.3323092333051843
3,119,2786.730,0.039736879949258355,0.40459765620223154,0.363274453807344
3,121,2721.441,0.021932765061087767,0.43671221241443087,0.3521424404554575
3,127,2728.155,0.032872184789130864,0.3469301457373023,0.44382060947654933
3,166,2780.895,0.030572209012363818,0.32886318089587413,0.45229757330703146
3,178,2701.534,0.3634594219522058,0.4029911379783236,0.35832164454646237
3,180,2719.741,0.04743006675038216,0.4555933549713145,0.479147984655553
3,184,2794.867,0.04628575593465629,0.39818096422933197,0.3703204528304867
3,187,2771.557,0.07735590932223277,0.38519476341390113,2.006680304662596
3,193,2768.218,0.0564040952921361,0.2919468123515353,0.40850555589551735
3,212,2763.827,0.04901909726870995,0.3534215959171871,0.4352327377904935
3,214,2755.826,0.0393336118696536,0.3616895309882091,0.3392190773015838
3,226,2767.132,0.15936397381964412,0.39193634021203183,0.4201689456716127
3,244,2711.132,0.31243691404808305,0.46271562537170857,0.4062673036765938
3,250,2750.264,0.03584754605641336,0.3727125961039216,0.4322730692816344
3,257,2707.203,0.02288189595110367,1.4746982960726356,0.38646808049069753
3,271,2803.017,0.14781361564625303,0.38399776969280713,0.3593606133891156
3,279,2711.805,0.02604957443087095,0.413329442207985,0.3853076140708715
3,281,2730.273,0.029182779625633887,0.47051415370058686,0.45190058318923126
3,304,2705.328,0.02852799414928016,0.5014179252596714,4.198424795731846
3,331,2718.457,0.02695043598073274,0.42466225060263874,0.39036930152513083
3,337,2752.554,0.029813273481646717,0.39588226016208256,0.36038935126415167
3,339,2760.822,0.02486464712020367,0.37528594004235705,0.39301973328462436
3,361,2777.925,0.00950365101992063,0.38543117487472345,0.3971020897697334
4,32,722.391,0.00221938777702424,0.027249207452417,0.0233816632734242
4,59,724.775,0.00221780673492763,0.0230110163007782,0.0280939623118505
4,72,723.796,0.00145803573323876,0.025388997911506,0.0292524731207676
4,102,725.81,0.00299119860127294,0.02753494146945,0.0247103485875249
4,182,723.318,0.0024958047451924,0.0243789220451542,0.0274908696012853
4,259,728.465,0.0022563299715063,0.026062555763101,0.0262155859288276
4,282,722.39,0.00116207363614968,0.0275489083468244,0.0263726790777196
4,292,727.689,0.0014753564795837,0.0259084650335141,0.022404116986958
4,329,720.652,0.00446888672219648,0.0239190155983198,0.0265633741593903
4,376,723.825,0.00513622371679673,0.0230038235142187,0.0269531313177466
4,382,721.12,0.00114550696460961,0.0240141908082381,0.0268524050092956
4,389,729.567,0.00115892511599919,0.0258818783279162,0.0258373193635562
