Consulta	Iteracion	Manager	Worker1	Worker2	Worker3
11	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
11	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
12	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
12	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
12	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
12	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
12	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
12	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
12	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
12	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
12	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
12	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	19	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	20	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	21	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	22	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	23	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	24	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	25	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	26	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	27	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	28	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	29	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
12	30	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	1	7644869.164166955	56522904.40774102	27151299.264754634	33519559.610601082
13	2	7543028.100701135	55769934.988455	26789603.448616702	33073029.065166786
13	3	7332556.56953844	54213798.18859723	26042098.761931647	32150199.27126924
13	4	8021681.098990491	59308891.259099275	28489573.784464974	35171722.62870798
13	5	8435834.757084826	62370966.89752907	29960470.103425886	36987613.513474114
13	6	7549817.504932189	55820132.94974074	26813716.503025897	33102797.768195737
13	7	8011496.992643909	59233594.31717067	28453404.20285118	35127069.574164554
13	8	7661842.674744592	56648399.31095535	27211581.90077762	33593981.368173465
13	9	8014891.694759436	59258693.29781354	28465460.730055775	35141953.92567903
13	10	7953787.056679944	58806911.64624193	28248443.24037302	34874035.59841845
13	11	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	12	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	13	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	14	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	15	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	16	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	17	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
13	18	3394.7021155269103	25098.980642869155	12056.527204598611	14884.351514476195
